Noise Level (%),Trial,VQE Only Noisy,Fidelity Only Noisy,Both Noisy
0.0,1,1299.8916054571005,1299.8916054571005,1299.8916054571005
0.0,2,19355.109490721043,19355.109490721043,19355.109490721043
0.0,3,1587.3812711581777,1587.3812711581777,1587.3812711581777
0.0,4,2547.8146692878154,2547.8146692878154,2547.8146692878154
0.0,5,1869.8643917171055,1869.8643917171055,1869.8643917171055
0.0,6,1220.3794915128906,1220.3794915128906,1220.3794915128906
0.0,7,1241.9238233698552,1241.9238233698552,1241.9238233698552
0.0,8,2092.7738853325072,2092.7738853325072,2092.7738853325072
0.0,9,1276.0899113916528,1276.0899113916528,1276.0899113916528
0.0,10,1508.2156636082734,1508.2156636082734,1508.2156636082734
0.01,1,1175.7300443308116,20081.594003752634,108163.29062067559
0.01,2,7610.388297343862,974333.6143532946,1049202.8020299883
0.01,3,1581.5456639391937,38294.80840581892,49235.52693678959
0.01,4,1990.0494225337993,34974.843078320606,32488.753808622663
0.01,5,1448.6677101946163,36078.618639501605,33763.171182308535
0.01,6,1211.9750376419945,36668.586439007886,35743.18688812616
0.01,7,1261.0610872563932,232440.02533391945,36921.77506191428
0.01,8,1580.4469868547521,37667.02077568736,96816.7058527629
0.01,9,1621.4798110212714,34754.74903786389,32652.52612801921
0.01,10,1511.9733747060338,47766.188554961846,27898.954730475478
0.1,1,1187.4085695229014,19052.05521832084,22742.43252304586
0.1,2,4713.056506341624,29220.543728116914,28302.733172608412
0.1,3,1596.9634629093725,27822.98878489527,29454.453763813024
0.1,4,3857.446477127051,23882.770150181543,27147.66985182889
0.1,5,1247.8680736231688,29468.295931473218,26130.510477010634
0.1,6,1226.7399283160178,28697.584889757476,30299.074484407265
0.1,7,1260.1557061721953,20857.6703309008,23374.035973711503
0.1,8,1605.576834472676,28661.175054497566,29020.002047050733
0.1,9,2284.4645414755937,24072.691280245013,22752.560996471046
0.1,10,1516.2727277204217,24731.2478021824,23909.714527651286
1.0,1,1370.9210627080527,31554.954597628977,30823.572001942055
1.0,2,4534.725600706183,24380.148075199937,24748.98772796589
1.0,3,1570.2439909484774,34226.80934963701,34054.362148534376
1.0,4,1012.45514292352,29161.331172051207,29376.388553026318
1.0,5,1308.7134236318925,32383.252682379338,32301.101784653645
1.0,6,1224.4506062702765,34128.187258078404,33750.40863578112
1.0,7,1224.4044503707457,29543.81173053787,29306.90722864787
1.0,8,1725.2588111555685,31246.493736393957,31514.702303016802
1.0,9,1179.4340325388082,32947.533672017045,32577.365410125007
1.0,10,1507.681280405825,34728.55032992159,34158.79193174814
10.0,1,23213.583464359876,34203.869267068694,34158.82093097604
10.0,2,33807.50593327511,27865.880657302485,27953.065788450494
10.0,3,16039.940157474131,36125.268301394965,36325.383325538096
10.0,4,3955.1038134477462,29430.045555636123,29298.758229283
10.0,5,124195.53271802752,33437.411278448926,33205.10083322794
10.0,6,3848.7613634138843,34746.369173603896,34799.97262366113
10.0,7,3473.1925725486276,31064.4671177015,31185.220365381156
10.0,8,82814.40054375688,32425.259095874433,32380.93725657971
10.0,9,40749.63109151618,32976.37942736064,33063.17014404941
10.0,10,99888.94207122244,36603.986282133184,36536.56510153634
